ref_x,ref_y,ref_theta,ref_curve
456588.3677,4425388.7941,1.5811,0.0000
456588.3657,4425388.9939,1.5811,0.0000
456588.3636,4425389.1937,1.5811,0.0000
456588.3616,4425389.3936,1.5811,0.0000
456588.3595,4425389.5934,1.5811,0.0000
456588.3575,4425389.7932,1.5811,0.0000
456588.3554,4425389.9931,1.5811,0.0000
456588.3534,4425390.1929,1.5811,0.0000
456588.3513,4425390.3927,1.5811,0.0000
456588.3493,4425390.5926,1.5811,0.0000
456588.3472,4425390.7924,1.5811,0.0000
456588.3452,4425390.9922,1.5811,0.0000
456588.3431,4425391.1921,1.5811,0.0000
456588.3411,4425391.3919,1.5811,0.0000
456588.3363,4425391.8468,1.5806,-0.0011
456588.3311,4425392.3727,1.5795,-0.0031
456588.3289,4425392.6396,1.5786,-0.0040
456588.3270,4425392.9024,1.5774,-0.0051
456588.3255,4425393.1613,1.5759,-0.0063
456588.3244,4425393.4162,1.5741,-0.0077
456588.3238,4425393.6671,1.5720,-0.0093
456588.3238,4425393.9139,1.5695,-0.0110
456588.3245,4425394.1567,1.5666,-0.0129
456588.3259,4425394.3954,1.5632,-0.0151
456588.3281,4425394.6300,1.5594,-0.0174
456588.3312,4425394.8605,1.5551,-0.0201
456588.3353,4425395.0869,1.5502,-0.0229
456588.3405,4425395.3092,1.5448,-0.0261
456588.3468,4425395.5273,1.5387,-0.0296
456588.3544,4425395.7413,1.5320,-0.0334
456588.3633,4425395.9511,1.5245,-0.0376
456588.3736,4425396.1566,1.5163,-0.0422
456588.3855,4425396.3580,1.5073,-0.0473
456588.3990,4425396.5551,1.4974,-0.0528
456588.4142,4425396.7479,1.4866,-0.0589
456588.4312,4425396.9364,1.4749,-0.0656
456588.4501,4425397.1207,1.4621,-0.0728
456588.4710,4425397.3006,1.4481,-0.0808
456588.4940,4425397.4762,1.4331,-0.0895
456588.5191,4425397.6474,1.4168,-0.0990
456588.5465,4425397.8142,1.3992,-0.1094
456588.5762,4425397.9766,1.3802,-0.1206
456588.6083,4425398.1346,1.3598,-0.1329
456588.6429,4425398.2882,1.3379,-0.1461
456588.6801,4425398.4373,1.3143,-0.1604
456588.7200,4425398.5819,1.2891,-0.1758
456588.7626,4425398.7221,1.2622,-0.1922
456588.8079,4425398.8577,1.2335,-0.2096
456588.8562,4425398.9888,1.2029,-0.2281
456588.9073,4425399.1154,1.1705,-0.2474
456588.9614,4425399.2374,1.1361,-0.2674
456589.0185,4425399.3549,1.0999,-0.2879
456589.0786,4425399.4677,1.0618,-0.3086
456589.1419,4425399.5760,1.0218,-0.3292
456589.2083,4425399.6796,0.9800,-0.3494
456589.2779,4425399.7787,0.9365,-0.3688
456589.3506,4425399.8731,0.8915,-0.3868
456589.4266,4425399.9628,0.8450,-0.4031
456589.5058,4425400.0479,0.7973,-0.4171
456589.5883,4425400.1284,0.7486,-0.4284
456589.6740,4425400.2042,0.6990,-0.4367
456589.7630,4425400.2753,0.6490,-0.4416
456589.8553,4425400.3417,0.5986,-0.4431
456589.9509,4425400.4034,0.5483,-0.4411
456590.0498,4425400.4605,0.4982,-0.4357
456589.9324,4425400.2662,0.3949,-0.3695
456590.0139,4425400.2986,0.3644,-0.3259
456590.0996,4425400.3299,0.3365,-0.2878
456590.1895,4425400.3601,0.3108,-0.2546
456590.2835,4425400.3890,0.2872,-0.2255
456590.3817,4425400.4169,0.2656,-0.2002
